QUESTION,BT LEVEL,Processed Question,Prediction (Naïve Bayes),Prediction (Random Forest),Prediction (SVM)
State which market structure adopts this practice. List and briefly explain what are the conditions needed for this practice to be successful.,Comprehension,state which market structur adopt thi practice. list and briefli explain what are the condit need for thi practic to be successful.,Apply,Remember,Understand
Explain types of price discriminations.,Comprehension,explain type of price discriminations.,Understand,Evaluate,Understand
"By using appropriate diagrams, explain how a decreasing cost industry affects the long-run supply curve in a perfectly competitive market.",Comprehension,"by use appropri diagrams, explain how a decreas cost industri affect the long-run suppli curv in a perfectli competit market.",Apply,Evaluate,Understand
"Briefly explain the income-consumption curve. With the aid of diagrams, derive income-consumption curve and Engel curve if there is an increase in income given that the good is an inferior good. Explain your answer by showing at least two bundles of goods in the diagrams.",Comprehension,"briefli explain the income-consumpt curve. with the aid of diagrams, deriv income-consumpt curv and engel curv if there is an increas in incom given that the good is an inferior good. explain your answer by show at least two bundl of good in the diagrams.",Understand,Evaluate,Understand
Briefly explain the characteristics of monopolistic market structure.,Comprehension,briefli explain the characterist of monopolist market structure.,Understand,Evaluate,Understand
"""Assume that there is one dominant firm in the industry that sets the price and then all the other firms in the industry behave like perfectly competitive price­ taking firms"". By using appropriate diagrams, explain the underlying assumptions of the model stated in the statement.",Comprehension,"""assum that there is one domin firm in the industri that set the price and then all the other firm in the industri behav like perfectli competit price­ take firms"". by use appropri diagrams, explain the underli assumpt of the model state in the statement.",Apply,Remember,Analyze
Explain the marginal cost relationship with average variable cost (AVC) and average total cost (ATC). Support your answer by using an appropriate diagram. ,Comprehension,explain the margin cost relationship with averag variabl cost (avc) and averag total cost (atc). support your answer by use an appropri diagram.,Analyze,Evaluate,Analyze
"Jason spends all his income on meat and bread. Assume bread as a giffen good, draw Jason's price consumption curve and demand curve for bread when the price of bread falls. Support your answer with explanation for 3 consumption bundles. ",Application,"jason spend all hi incom on meat and bread. assum bread a a giffen good, draw jason' price consumpt curv and demand curv for bread when the price of bread falls. support your answer with explan for 3 consumpt bundles.",Remember,Remember,Remember
"Starting from a point of equilibrium, explain the case of a decreasing - cost industry in a perfectly competitive market with the aid of diagram(s). ",Comprehension,"start from a point of equilibrium, explain the case of a decreas - cost industri in a perfectli competit market with the aid of diagram(s).",Analyze,Analyze,Analyze
List THREE (3) characteristics of monopolistic competition and explain how do firms in this market structure compete.,Comprehension,list three (3) characterist of monopolist competit and explain how do firm in thi market structur compete.,Understand,Evaluate,Understand
Describe diminishing of marginal product and explain the relationship between average product and marginal product by using an appropriate diagram. ,Comprehension,describ diminish of margin product and explain the relationship between averag product and margin product by use an appropri diagram.,Understand,Apply,Understand
"""Economists state that both allocative and productive efficiencies are realized in the long-run equilibrium of a monopolistically competitive market"". State whether you agree or disagree with the statement. Graphically illustrate and explain the statement. ",Analysis,"""economist state that both alloc and product effici are realiz in the long-run equilibrium of a monopolist competit market"". state whether you agre or disagre with the statement. graphic illustr and explain the statement.",Understand,Remember,Understand
Determine the equilibrium price and quantity.,Application,determin the equilibrium price and quantity.,Analyze,Analyze,Analyze
Determine the amount of shortage or surplus if government decides to impose the price at RM1.50/kg. Support your answer with numerical explanations. ,Application,determin the amount of shortag or surplu if govern decid to impos the price at rm1.50/kg. support your answer with numer explanations.,Analyze,Analyze,Analyze
"Suppose milk and yogurt are within Sophie's budget and she views yogurt as an inferior good. Using indifference curve and budget line, explain the substitution, income and total effects when the price of yogurt falls. ",Application,"suppos milk and yogurt are within sophie' budget and she view yogurt a an inferior good. use indiffer curv and budget line, explain the substitution, incom and total effect when the price of yogurt falls.",Apply,Evaluate,Understand
Explain the underlying assumptions of the price-leadership model by using appropriate diagrams.,Comprehension,explain the underli assumpt of the price-leadership model by use appropri diagrams.,Apply,Evaluate,Understand
"Justify the following statement. ""It is possible for a firm to experience diminishing marginal return and diseconomies of scale at the same time”. ",Evaluation,"justifi the follow statement. ""it is possibl for a firm to experi diminish margin return and diseconomi of scale at the same time”.",Analyze,Analyze,Analyze
Describe the TWO (2) key differences between perfect competition and monopolistic competition. ,Comprehension,describ the two (2) key differ between perfect competit and monopolist competition.,Understand,Remember,Understand
The news reported that the chicken consumption in Malaysia has fallen by 17.25 percent. Use firm and industry diagrams to explain the short run and long run effects. ,Application,the news report that the chicken consumpt in malaysia ha fallen by 17.25 percent. use firm and industri diagram to explain the short run and long run effects.,Analyze,Evaluate,Analyze
"“As additional units of a variable input are added to a fixed input, the marginal product of the variable input may at the beginning rises, subsequently falls and becomes negative in the short-run"". Explain this statement by using appropriate diagrams. ",Comprehension,"“a addit unit of a variabl input are ad to a fix input, the margin product of the variabl input may at the begin rises, subsequ fall and becom neg in the short-run"". explain thi statement by use appropri diagrams.",Apply,Evaluate,Understand
"A manager of a small company makes the following statement - ""We need to keep hiring additional workers up to the point where the marginal productivity of the last worker we hire is at its maximum. This way we can maximize the total productivity of the firm.""  Critically evaluate this statement. ",Evaluation,"a manag of a small compani make the follow statement - ""we need to keep hire addit worker up to the point where the margin product of the last worker we hire is at it maximum. thi way we can maxim the total product of the firm."" critic evalu thi statement.",Analyze,Analyze,Analyze
"Draw a graph showing the demand curve faced by a perfectly competitive firm. On the same graph, draw the demand curve faced by a monopolistically competitive firm. Explain your reasoning for each curve. ",Comprehension,"draw a graph show the demand curv face by a perfectli competit firm. on the same graph, draw the demand curv face by a monopolist competit firm. explain your reason for each curve.",Remember,Remember,Remember
Explain the price discriminations that associated with monopoly.,Comprehension,explain the price discrimin that associ with monopoly.,Understand,Evaluate,Understand
"Suppose firms in industry Y are having an increase in demand. By using appropriate diagrams, explain the effect of an increase in demand and how industry Y achieves the long-run equilibrium in perfect competition. ",Analysis,"suppos firm in industri y are have an increas in demand. by use appropri diagrams, explain the effect of an increas in demand and how industri y achiev the long-run equilibrium in perfect competition.",Apply,Evaluate,Understand
Sketch a graph that associates with a monopoly. Find the profit-maximizing level of output and label it as q*. Find the price that firm should charge and label it as P*. Explain how the profit-maximizing output and price the firm should charge are determined. Explain what the firm should do if marginal revenue is higher than marginal cost. ,Analysis,sketch a graph that associ with a monopoly. find the profit-maxim level of output and label it a q*. find the price that firm should charg and label it a p*. explain how the profit-maxim output and price the firm should charg are determined. explain what the firm should do if margin revenu is higher than margin cost.,Understand,Remember,Understand
 List and explain TWO (2) advantages and THREE (3) disadvantages of economic growth. ,Comprehension,list and explain two (2) advantag and three (3) disadvantag of econom growth.,Understand,Evaluate,Understand
Draw Production Possibilities Frontier and Trading Possibilities Frontier for China and South Africa.,Comprehension,draw product possibl frontier and trade possibl frontier for china and south africa.,Remember,Remember,Remember
Compute the value of the government multiplier and tax multiplier in an open economy. ,Application,comput the valu of the govern multipli and tax multipli in an open economy.,Apply,Evaluate,Apply
"Using the multiplier approach, suppose government increases spending to 2200 and decreases tax by 500, calculate the new equilibrium output level and the new balance of trade.",Application,"use the multipli approach, suppos govern increas spend to 2200 and decreas tax by 500, calcul the new equilibrium output level and the new balanc of trade.",Apply,Apply,Apply
Suppose that Japan and South Korea are trading partners. The exchange rate of Yen for South Korean Won (KRW) is floating freely. Japanese had reduced their imports from South Korea due to lack of demand for Korean products. Explain what will happen to Yen by using an appropriate diagram. Give five reasons why demand for a foreign currency may increase. ,Analysis,suppos that japan and south korea are trade partners. the exchang rate of yen for south korean won (krw) is float freely. japanes had reduc their import from south korea due to lack of demand for korean products. explain what will happen to yen by use an appropri diagram. give five reason whi demand for a foreign currenc may increase.,Understand,Understand,Analyze
Determine which country enjoys comparative advantage in the production of cotton and silk respectively. Support your answer by calculating the opportunity costs of each. ,Application,determin which countri enjoy compar advantag in the product of cotton and silk respectively. support your answer by calcul the opportun cost of each.,Analyze,Analyze,Analyze
Draw Production Possibilities Frontier and Trading Possibilities Frontier for China and Thailand. Clearly label the total output before specialization and total output after trade in the diagrams.,Comprehension,draw product possibl frontier and trade possibl frontier for china and thailand. clearli label the total output befor special and total output after trade in the diagrams.,Remember,Remember,Remember
"Inflation is one of the major concerns of all countries in the world. Discuss how the Bank Negara Malaysia (BNM) would fight against inflation problem and by using appropriate diagrams, show how the BNM actions affect the investment level and equilibrium output level. ",Application,"inflat is one of the major concern of all countri in the world. discu how the bank negara malaysia (bnm) would fight against inflat problem and by use appropri diagrams, show how the bnm action affect the invest level and equilibrium output level.",Apply,Apply,Apply
Explain  the effect of a cut in taxes of $100 billion on the economy if the marginal propensity to consume were 0.9. Explain why this policy is much different from simply having the government initiate a $100 billion spending program. Support your answer with specific calculations. ,Analysis,explain the effect of a cut in tax of $100 billion on the economi if the margin propens to consum were 0.9. explain whi thi polici is much differ from simpli have the govern initi a $100 billion spend program. support your answer with specif calculations.,Understand,Understand,Understand
Explain why a sustained inflation is a purely monetary phenomenon and cannot exist without the cooperation of the Bank Negara Malaysia (BNM). ,Comprehension,explain whi a sustain inflat is a pure monetari phenomenon and cannot exist without the cooper of the bank negara malaysia (bnm).,Understand,Understand,Understand
Explain why the effectiveness of an expansionary monetary policy in increasing aggregate output is partially dependent on the interest sensitivity of the demand for money. ,Analysis,explain whi the effect of an expansionari monetari polici in increas aggreg output is partial depend on the interest sensit of the demand for money.,Understand,Understand,Understand
Calculate the equilibrium level of income for Cambodia. ,Application,calcul the equilibrium level of incom for cambodia.,Analyze,Analyze,Analyze
Calculate the balance of trade when the economy is at equilibrium and interpret your answer. ,Application,calcul the balanc of trade when the economi is at equilibrium and interpret your answer.,Apply,Apply,Apply
Calculate the level of output needed to be achieved by Cambodia in order to maintain a balanced trade account.,Application,calcul the level of output need to be achiev by cambodia in order to maintain a balanc trade account.,Analyze,Analyze,Analyze
Determine the values of Cambodia's government spending multiplier in closed and open economy. Explain which multiplier has the greater impact on the Cambodia economy. ,Application,determin the valu of cambodia' govern spend multipli in close and open economy. explain which multipli ha the greater impact on the cambodia economy.,Evaluate,Evaluate,Evaluate
Malaysia is currently having trade deficit and policy maker tries to improve the balance of trade by depreciate the Ringgit Malaysia. Discuss the impact of this policy by using an appropriate diagram. ,Comprehension,malaysia is current have trade deficit and polici maker tri to improv the balanc of trade by depreci the ringgit malaysia. discu the impact of thi polici by use an appropri diagram.,Analyze,Apply,Analyze
List and explain the FIVE (5) institutional structures that can promote and sustained economic growth. ,Comprehension,list and explain the five (5) institut structur that can promot and sustain econom growth.,Understand,Evaluate,Understand
"Assume that Saudi Arabia is currently operating at the natural level of output. However, due to the political uncertainty it leads to an increase in oil price. Discuss the effects of the event on the price level, unemployment and output in the long run and short run in Saudi Arabia by using appropriate diagrams. Besides, suggest the policy that can be implemented by Saudi Arabia in order to achieve long run equilibrium after the event. ",Synthesis,"assum that saudi arabia is current oper at the natur level of output. however, due to the polit uncertainti it lead to an increas in oil price. discu the effect of the event on the price level, unemploy and output in the long run and short run in saudi arabia by use appropri diagrams. besides, suggest the polici that can be implement by saudi arabia in order to achiev long run equilibrium after the event.",Apply,Analyze,Apply
Assume that Japan is currently operating at the natural level of output. Investor is optimistic about the future due to the outstanding performance in the stock market. Explain the effect of event to the price level and output level in the short run and long run in Japan by using an appropriate diagram.,Comprehension,assum that japan is current oper at the natur level of output. investor is optimist about the futur due to the outstand perform in the stock market. explain the effect of event to the price level and output level in the short run and long run in japan by use an appropri diagram.,Apply,Apply,Apply
List and explain the reason why the aggregate demand curve is downward slopping.,Comprehension,list and explain the reason whi the aggreg demand curv is downward slopping.,Understand,Understand,Understand
"In order to achieve high economy growth the government can implement expansionary fiscal policy, however, the effect of an increase in government spending can be taken aback by crowding out effect. Recommend and graphically explain the action that can be taken by Bank Negara Malaysia (BNM) to avoid this problem.",Synthesis,"in order to achiev high economi growth the govern can implement expansionari fiscal policy, however, the effect of an increas in govern spend can be taken aback by crowd out effect. recommend and graphic explain the action that can be taken by bank negara malaysia (bnm) to avoid thi problem.",Analyze,Analyze,Analyze
Money growth is always interrelated with inflation phenomenon. Explain how the growth of money will affect the economy when the economy is operating at the full capacity. Illustrate by using an appropriate diagram.,Analysis,money growth is alway interrel with inflat phenomenon. explain how the growth of money will affect the economi when the economi is oper at the full capacity. illustr by use an appropri diagram.,Apply,Analyze,Analyze
Describe price feedback effect by using relevant example.,Comprehension,describ price feedback effect by use relev example.,Apply,Understand,Understand
Identify which country has an absolute advantage in the production of sugar cane and blue agave.,Knowledge,identifi which countri ha an absolut advantag in the product of sugar cane and blue agave.,Analyze,Analyze,Analyze
Suppose the two countries wish to specialize and trade. Specifically determine and explain which country enjoys comparative advantage in the production of sugar cane and blue agave. ,Application,suppos the two countri wish to special and trade. specif determin and explain which countri enjoy compar advantag in the product of sugar cane and blue agave.,Understand,Understand,Understand
"Draw Production Possibilities Frontier and Trading Possibilities Frontier for Argentina and Mexico.
",Comprehension,draw product possibl frontier and trade possibl frontier for argentina and mexico.,Remember,Remember,Remember
In order to reduce the international competition to protect some major sector of the economy. List and explain THREE (3) instruments that can use to protect our domestic industries. ,Comprehension,in order to reduc the intern competit to protect some major sector of the economy. list and explain three (3) instrument that can use to protect our domest industries.,Analyze,Evaluate,Analyze
"Output and capital are increasing more rapidly than labour in the pharmaceutical industry. However, labour is increasing faster than capital and output in the agriculture industry. Evaluate the different in the output growth and productivity between these two industries.",Evaluation,"output and capit are increas more rapidli than labour in the pharmaceut industry. however, labour is increas faster than capit and output in the agricultur industry. evalu the differ in the output growth and product between these two industries.",Analyze,Analyze,Analyze
Thailand currently experiences a 17% unemployment rate and the investors in the country are sensitive towards changes in the interest rate. Explain to your friend the policy to be taken by Central Bank of Thailand to achieve 3% of unemployment rate by using appropriate diagram(s). ,Comprehension,thailand current experi a 17% unemploy rate and the investor in the countri are sensit toward chang in the interest rate. explain to your friend the polici to be taken by central bank of thailand to achiev 3% of unemploy rate by use appropri diagram(s).,Analyze,Evaluate,Analyze
"Japan is operating above the potential output level. As a committee member of central bank, suggest a policy that should be implemented in order to restore Japan's potential output level. Using appropriate diagram(s), explain the effect of the policy on price and unemployment level in short run and long run. ",Synthesis,"japan is oper abov the potenti output level. a a committe member of central bank, suggest a polici that should be implement in order to restor japan' potenti output level. use appropri diagram(s), explain the effect of the polici on price and unemploy level in short run and long run.",Apply,Analyze,Apply
Identify which country has an absolute advantage and comparative advantage in the production of pizza and cloth. ,Comprehension,identifi which countri ha an absolut advantag and compar advantag in the product of pizza and cloth.,Analyze,Understand,Analyze
Draw Production Possibilities Frontier and Trading Possibilities Frontier for Korea and Indonesia. ,Comprehension,draw product possibl frontier and trade possibl frontier for korea and indonesia.,Remember,Remember,Remember
Explain THREE (3) reasons why AD curve is downward sloping.,Comprehension,explain three (3) reason whi ad curv is downward sloping.,Understand,Understand,Understand
Calculate the equilibrium level of output for four sectors economy with taxes. ,Application,calcul the equilibrium level of output for four sector economi with taxes.,Analyze,Analyze,Analyze
Calculate the balance of trade when the economy is at equilibrium. ,Application,calcul the balanc of trade when the economi is at equilibrium.,Analyze,Analyze,Analyze
"Using the open economy multiplier approach, calculate the new equilibrium output level and new balance of trade if the government decreases spending to RM 1200 million and increases tax by RM 300 million. ",Application,"use the open economi multipli approach, calcul the new equilibrium output level and new balanc of trade if the govern decreas spend to rm 1200 million and increas tax by rm 300 million.",Apply,Apply,Apply
Describe the economic growth and FOUR (4) sources of economic growth. ,Knowledge,describ the econom growth and four (4) sourc of econom growth.,Understand,Remember,Understand
The unemployment problem can be overcome by increasing the aggregate output in a country. Explain THREE (3) multiplier concepts that can be applied in this problem. ,Application,the unemploy problem can be overcom by increas the aggreg output in a country. explain three (3) multipli concept that can be appli in thi problem.,Apply,Evaluate,Understand
Calculate the equilibrium level of income for this economy. ,Application,calcul the equilibrium level of incom for thi economy.,Analyze,Analyze,Analyze
Calculate the balance of trade when the economy is at equilibrium and interpret the answer. ,Application,calcul the balanc of trade when the economi is at equilibrium and interpret the answer.,Apply,Apply,Apply
Calculate the level of output Japan needs to achieve in order to maintain a balanced trade account. ,Application,calcul the level of output japan need to achiev in order to maintain a balanc trade account.,Analyze,Analyze,Analyze
Determine the values of government multiplier and tax multiplier in open economy for Japan. Explain which multiplier has greater impact on the economy. ,Application,determin the valu of govern multipli and tax multipli in open economi for japan. explain which multipli ha greater impact on the economy.,Evaluate,Evaluate,Evaluate
"Assume that an economy is initially below the natural rate of output, due to the stock market crash in 2008. Explain what policy the government can implement in order to return the output to the natural level by using appropriate diagram.",Comprehension,"assum that an economi is initi below the natur rate of output, due to the stock market crash in 2008. explain what polici the govern can implement in order to return the output to the natur level by use appropri diagram.",Analyze,Analyze,Analyze
Define economic growth. List and explain how the public policies can promote economic growth. ,Comprehension,defin econom growth. list and explain how the public polici can promot econom growth.,Understand,Remember,Understand
"The Malaysian economy is currently operating at the natural level of output. In order to be a high-income country in 2020, government of Malaysia decides to increase the government spending. Discuss the effects of the event on the price level, unemployment and output in the long run and short run in Malaysia with appropriate diagrams.",Comprehension,"the malaysian economi is current oper at the natur level of output. in order to be a high-incom countri in 2020, govern of malaysia decid to increas the govern spending. discu the effect of the event on the price level, unemploy and output in the long run and short run in malaysia with appropri diagrams.",Analyze,Remember,Analyze
"Explain how currency depreciation will affect export, import and the balance of trade of the country. ",Analysis,"explain how currenc depreci will affect export, import and the balanc of trade of the country.",Understand,Evaluate,Understand
Explain how human capital can lead to economic growth. ,Comprehension,explain how human capit can lead to econom growth.,Understand,Evaluate,Understand
Define terms of trade and identify which country has an absolute advantage in the production of jade and diamond. ,Comprehension,defin term of trade and identifi which countri ha an absolut advantag in the product of jade and diamond.,Remember,Remember,Remember
Suppose the two countries wish to specialize and trade. Specifically determine and explain which country enjoys comparative advantage in the production of jade and diamond. ,Application,suppos the two countri wish to special and trade. specif determin and explain which countri enjoy compar advantag in the product of jade and diamond.,Understand,Understand,Understand
Corporate bond is a debt contract (indenture) that requires borrowers to make periodic payment of interest and repayment of principal at the end of maturity date. Explain the type of market for corporate bond. ,Comprehension,corpor bond is a debt contract (indenture) that requir borrow to make period payment of interest and repay of princip at the end of matur date. explain the type of market for corpor bond.,Understand,Create,Understand
Discuss FOUR (4) factors affecting exchange rate in the long run.,Comprehension,discu four (4) factor affect exchang rate in the long run.,Analyze,Evaluate,Analyze
Define Bank Capital and elaborate the functions of Bank Capital.,Comprehension,defin bank capit and elabor the function of bank capital.,Remember,Remember,Remember
"A banker's acceptance (BA) is a promised future payment, or time draft, which is accepted and guaranteed by a bank and drawn on a deposit at the bank. The BA specifies the amount of money, the date, and the person to whom the payment is due. Draw and explain the sequence of a banker's acceptance transaction. ",Application,"a banker' accept (ba) is a promis futur payment, or time draft, which is accept and guarante by a bank and drawn on a deposit at the bank. the ba specifi the amount of money, the date, and the person to whom the payment is due. draw and explain the sequenc of a banker' accept transaction.",Understand,Understand,Understand
Describe THREE (3) advantages of the banker's acceptance towards either exporter or importer. ,Knowledge,describ three (3) advantag of the banker' accept toward either export or importer.,Understand,Remember,Understand
Define and explain the THREE (3) steps of bringing a new security issue in primary market. ,Comprehension,defin and explain the three (3) step of bring a new secur issu in primari market.,Understand,Remember,Understand
List FIVE (5) differences between forward and future market. ,Knowledge,list five (5) differ between forward and futur market.,Analyze,Analyze,Analyze
List and briefly describe FOUR (4) types of secondary equity markets. ,Knowledge,list and briefli describ four (4) type of secondari equiti markets.,Understand,Remember,Understand
Explain FOUR (4) factors in the Globalization of Financial Markets. ,Comprehension,explain four (4) factor in the global of financi markets.,Understand,Evaluate,Understand
Describe the TWO (2) conditions that lead to bank failures. Provide the examples of bank failures that happened in the past with a specific time frame. ,Comprehension,describ the two (2) condit that lead to bank failures. provid the exampl of bank failur that happen in the past with a specif time frame.,Understand,Understand,Understand
Letter of credit is a written promises to pay third party on clients behalf. Explain the functions of commercial letter of credit and standby letter of credit. ,Comprehension,letter of credit is a written promis to pay third parti on client behalf. explain the function of commerci letter of credit and standbi letter of credit.,Understand,Evaluate,Understand
Give THREE (3) examples of common uses of standby letter of credit. ,Comprehension,give three (3) exampl of common us of standbi letter of credit.,Understand,Understand,Understand
Define solvency and liquidity. Give some simple strategies that banks can follow to avoid insolvency or illiquidity. State reasons banks might option not to adopt these strategies. ,Comprehension,defin solvenc and liquidity. give some simpl strategi that bank can follow to avoid insolv or illiquidity. state reason bank might option not to adopt these strategies.,Remember,Remember,Remember
List FIVE (5) major business activities of investment banks. ,Knowledge,list five (5) major busi activ of invest banks.,Analyze,Analyze,Analyze
"Municipal bonds are securities issued by local, county and state government. Identify THREE (3) types of Municipal Bonds that available in the market. ",Knowledge,"municip bond are secur issu by local, counti and state government. identifi three (3) type of municip bond that avail in the market.",Remember,Remember,Remember
Differentiate between repurchase agreement (repo) and reverse repurchase agreement. ,Analysis,differenti between repurchas agreement (repo) and revers repurchas agreement.,Analyze,Analyze,Analyze
Discuss the actions of central bank towards monetary policy that will significantly influence Federal Funds Rate in short run. ,Comprehension,discu the action of central bank toward monetari polici that will significantli influenc feder fund rate in short run.,Analyze,Evaluate,Analyze
"A five-year, RM1,000 par value bond with a 6 percent semi-annual coupon is trading at current yield of 4 percent. Compute the duration of the bond. ",Application,"a five-year, rm1,000 par valu bond with a 6 percent semi-annu coupon is trade at current yield of 4 percent. comput the durat of the bond.",Apply,Evaluate,Apply
"Based on your knowledge, describe TWO (2) foreign bonds that are well known in the market. ",Knowledge,"base on your knowledge, describ two (2) foreign bond that are well known in the market.",Understand,Remember,Understand
Analyze THREE (3) factors that can affect the option premium. ,Analysis,analyz three (3) factor that can affect the option premium.,Analyze,Analyze,Analyze
Briefly explain THREE (3) main sources of banks earnings.,Comprehension,briefli explain three (3) main sourc of bank earnings.,Understand,Evaluate,Understand
Describe THREE (3) deposit liabilities for commercial banks. ,Knowledge,describ three (3) deposit liabil for commerci banks.,Understand,Remember,Understand
"New issues are called primary issues, that reflect to the first issued of security in the primary market. Elaborate the steps of bringing a new security to the market. ",Comprehension,"new issu are call primari issues, that reflect to the first issu of secur in the primari market. elabor the step of bring a new secur to the market.",Analyze,Analyze,Analyze
The Glass-Steagall Act of 1933 (Banking Act) restricted the asset powers of commercial banks in US to low-risk underwriting areas. List FOUR (4) requirements under Glass-Steagall Act of 1933.,Knowledge,the glass-steagal act of 1933 (bank act) restrict the asset power of commerci bank in u to low-risk underwrit areas. list four (4) requir under glass-steagal act of 1933.,Analyze,Analyze,Analyze
Briefly explain what a Repo is. ,Comprehension,briefli explain what a repo is.,Understand,Evaluate,Understand
Elaborate THREE (3) channels of the transmission process for monetary policy. ,Comprehension,elabor three (3) channel of the transmiss process for monetari policy.,Analyze,Analyze,Analyze
Illustrate the effect of an expansionary monetary policy. Justify your answer with an appropriate diagram. ,Evaluation,illustr the effect of an expansionari monetari policy. justifi your answer with an appropri diagram.,Analyze,Analyze,Analyze
Define federal fund market. Explain in detail its importance to a bank. ,Comprehension,defin feder fund market. explain in detail it import to a bank.,Understand,Remember,Understand
Explain FOUR (4) types of unemployment.,Comprehension,explain four (4) type of unemployment.,Understand,Evaluate,Understand
"Compute the duration for a five-year bond, RM1,000 par value bond with a 7 percent annual coupon which is trading at yield to maturity of 5 percent. ",Application,"comput the durat for a five-year bond, rm1,000 par valu bond with a 7 percent annual coupon which is trade at yield to matur of 5 percent.",Apply,Evaluate,Apply
Identify THREE (3) types of securities that are issued by Malaysian government. Explain each in detail. ,Comprehension,identifi three (3) type of secur that are issu by malaysian government. explain each in detail.,Understand,Evaluate,Understand
Discuss FOUR (4) economic roles of money market. ,Comprehension,discu four (4) econom role of money market.,Understand,Understand,Understand
The Glass-Steagall Act of 1933 and the Financial Services Modernization Act of 1999 created impact on commercial banks and investment banks in the US. Explain each act in detail. ,Comprehension,the glass-steagal act of 1933 and the financi servic modern act of 1999 creat impact on commerci bank and invest bank in the us. explain each act in detail.,Understand,Create,Understand
Explain FOUR (4) off-balance-sheet banking activities which are important but not recorded in a bank's balance sheet. ,Comprehension,explain four (4) off-balance-sheet bank activ which are import but not record in a bank' balanc sheet.,Understand,Remember,Understand
"If the value of the bond is RM900 and coupon are paid semi-annually, compute the yield to maturity (YTM) and the current yield of the bond. Interpret your answers. ",Application,"if the valu of the bond is rm900 and coupon are paid semi-annually, comput the yield to matur (ytm) and the current yield of the bond. interpret your answers.",Apply,Apply,Apply
Explain the relationship between bond price and market interest rate using the bond pricing formula. ,Comprehension,explain the relationship between bond price and market interest rate use the bond price formula.,Evaluate,Evaluate,Analyze
"Differentiate bonds that are traded at par, premium and discount.",Analysis,"differenti bond that are trade at par, premium and discount.",Analyze,Analyze,Analyze
Illustrate by using appropriate diagram(s) the effects of the most commonly and the least used monetary policy tool on the market interest rate if the central bank implements the expansionary monetary policy.,Comprehension,illustr by use appropri diagram(s) the effect of the most commonli and the least use monetari polici tool on the market interest rate if the central bank implement the expansionari monetari policy.,Apply,Apply,Apply
